No,Category,Pattern,Keywords,Trigger,Duration,Easing,CSS Properties,Code Example,Accessibility,Severity
21,Page Transitions,Fade In/Out,page fade transition route,route change,200-300ms,ease-out,opacity,"opacity-0 to opacity-100 transition-opacity duration-300",Instant page swap; no fade,Medium
22,Page Transitions,Slide In,page slide horizontal enter,route change,300ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","translate-x-4 opacity-0 to translate-x-0 opacity-100 transition-all duration-300",Use fade only or instant swap,Medium
23,Page Transitions,Scale In,page scale zoom enter,route change,250ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","scale-95 opacity-0 to scale-100 opacity-100 transition-all duration-250",Use fade only or instant swap,Low
24,Page Transitions,Morph Transition,morph shared element layout,layout change,350ms,cubic-bezier(0.4 0 0.2 1),"transform, width, height","Use layoutId in Framer Motion or view-transition-name in CSS; transition-all duration-350",Disable morphing; use cross-fade,Medium
25,Page Transitions,View Transition API,view transition cross-fade native,navigation,300ms,ease-out,"opacity, transform","document.startViewTransition(() => updateDOM()); ::view-transition-old { animation: fade-out 300ms } ::view-transition-new { animation: fade-in 300ms }",Falls back gracefully when unsupported; respect prefers-reduced-motion,High
26,Scroll Animations,Fade In On Scroll,scroll reveal fade appear,intersection observer,500ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","opacity-0 translate-y-4 to opacity-100 translate-y-0; use IntersectionObserver with threshold 0.1",Show all content immediately; no reveal animation,High
27,Scroll Animations,Parallax,parallax depth scroll layer,scroll,continuous,linear,transform,"translateY at 0.5x scroll speed; use transform: translateY(calc(var(--scroll) * 0.5))",Disable parallax entirely; static positioning,Medium
28,Scroll Animations,Sticky Reveal,sticky header show scroll direction,scroll direction,200ms,ease-out,transform,"translate-y-0 to -translate-y-full on scroll down; translate-y-0 on scroll up; transition-transform duration-200",Keep header always visible; no hide/show,Medium
29,Scroll Animations,Scroll Progress,scroll progress indicator bar,scroll position,continuous,linear,transform,"scaleX(0) to scaleX(1) origin-left; width based on scrollY / (scrollHeight - clientHeight)",Keep progress bar; purely informational,Low
30,Scroll Animations,Scroll-Driven Animation,scroll timeline css animation,scroll progress,continuous,linear,"transform, opacity","animation-timeline: scroll(); @keyframes reveal { from { opacity: 0; transform: translateY(20px) } to { opacity: 1; transform: translateY(0) } }",Disable animation; show final state immediately,Medium
31,Scroll Animations,Counter Animate,number count scroll trigger,intersection observer,1500ms,ease-out,content (JS),Use requestAnimationFrame to interpolate from 0 to target; trigger at IntersectionObserver threshold 0.5,Show final number immediately without counting,Low
32,Micro-interactions,Like/Heart,like heart favorite tap,click,300ms,cubic-bezier(0.34 1.56 0.64 1),transform,"scale-0 to scale-125 to scale-100; fill color transition; @keyframes heartBeat { 0% { transform: scale(1) } 50% { transform: scale(1.3) } 100% { transform: scale(1) } }",Instant color fill without scale bounce,Medium
33,Micro-interactions,Notification Badge,badge count pulse new,data update,300ms,cubic-bezier(0.34 1.56 0.64 1),"transform, opacity","scale-0 to scale-100 with small bounce; animate-bounce for new notification",Instant appearance without bounce,Medium
34,Micro-interactions,Toast Notification,toast snackbar alert popup,event trigger,300ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","translate-y-2 opacity-0 to translate-y-0 opacity-100 transition-all duration-300; auto-dismiss 5s",Instant show/hide without slide; ensure aria-live region,High
35,Micro-interactions,Tooltip Show,tooltip hover info popup,"mouseenter, focus",150ms,ease-out,"opacity, transform","opacity-0 scale-95 to opacity-100 scale-100 transition-all duration-150; add 200ms delay on show",Instant show without animation; ensure role=tooltip,Medium
36,Micro-interactions,Dropdown Open,dropdown menu expand reveal,click,200ms,cubic-bezier(0.4 0 0.2 1),"opacity, transform","origin-top-right scale-95 opacity-0 to scale-100 opacity-100 transition-all duration-200",Instant show/hide; ensure keyboard navigation and aria-expanded,High
37,Micro-interactions,Accordion Expand,accordion collapse expand toggle,click,300ms,cubic-bezier(0.4 0 0.2 1),"height, opacity","grid-rows-[0fr] to grid-rows-[1fr] transition-[grid-template-rows] duration-300; inner overflow-hidden",Instant expand/collapse; keep content accessible,Medium
38,Micro-interactions,Tab Switch,tab active underline switch,click,200ms,cubic-bezier(0.4 0 0.2 1),"transform, background-color, color","Active indicator translateX to selected tab position; transition-all duration-200",Instant tab switch without sliding indicator,Medium
39,Micro-interactions,Copy Feedback,copy clipboard check feedback,click,200ms,ease-out,"opacity, transform","Copy icon fades to checkmark: opacity swap with scale-90 to scale-100 duration-200; revert after 2s",Instant icon swap without transition,Medium
40,Data/Chart,Chart Animate In,chart bar line draw enter,intersection observer,800ms,cubic-bezier(0.4 0 0.2 1),"stroke-dashoffset, transform","Line chart: stroke-dasharray + stroke-dashoffset from full to 0; Bar: scaleY(0) to scaleY(1) origin-bottom",Show final chart state immediately; no draw-in,Medium
41,Data/Chart,Number Count Up,counter number increment,intersection observer,1200ms,ease-out,textContent (JS),"Use requestAnimationFrame with eased interpolation from 0 to target value; format with Intl.NumberFormat",Display final number instantly,Low
42,Data/Chart,Progress Ring,circle progress svg fill,data update,600ms,cubic-bezier(0.4 0 0.2 1),stroke-dashoffset,"SVG circle stroke-dasharray: circumference; stroke-dashoffset transition from circumference to (1 - progress) * circumference",Show filled state immediately; announce percentage via aria,Medium
43,Data/Chart,Bar Chart Grow,bar grow height animate,intersection observer,600ms,cubic-bezier(0.4 0 0.2 1),"height, transform","h-0 to h-[var(--value)] transition-all duration-600; or scaleY-0 to scaleY-100 origin-bottom",Show final bar heights immediately,Medium
44,Navigation,Hamburger to X,menu icon morph toggle,click,300ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","Three spans: top rotate-45 translate-y middle opacity-0 bottom -rotate-45 translate-y; transition-all duration-300",Instant icon swap; ensure aria-label updates,High
45,Navigation,Sidebar Slide,sidebar drawer slide panel,click,300ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","-translate-x-full to translate-x-0 transition-transform duration-300; overlay opacity-0 to opacity-50",Instant show/hide; ensure focus trap and Escape key close,High
46,Navigation,Breadcrumb Animate,breadcrumb path update,route change,200ms,ease-out,"opacity, transform","New segment: opacity-0 translate-x-2 to opacity-100 translate-x-0 transition-all duration-200",Instant breadcrumb update without animation,Low
47,Navigation,Mobile Bottom Sheet,bottom sheet drag snap,touch drag,300ms,cubic-bezier(0.4 0 0.2 1),transform,"translate-y-full to translate-y-0 transition-transform duration-300; use touch events for drag with snap points",Instant show/hide; ensure focus trap and backdrop close,High
48,Form,Input Focus,input focus ring highlight,focus,150ms,ease-out,"box-shadow, border-color","focus:ring-2 focus:ring-blue-500 focus:border-blue-500 transition-all duration-150",Keep focus ring; essential for accessibility. Do not remove,High
49,Form,Validation Shake,error shake input invalid,validation failure,400ms,cubic-bezier(0.36 0.07 0.19 0.97),transform,"@keyframes shake { 10%,90% { transform: translateX(-1px) } 20%,80% { transform: translateX(2px) } 30%,50%,70% { transform: translateX(-4px) } 40%,60% { transform: translateX(4px) } }",Skip shake animation; rely on red border and error text,Medium
50,Form,Success Checkmark,check success draw confirm,form success,500ms,cubic-bezier(0.4 0 0.2 1),"stroke-dashoffset, opacity","SVG checkmark path with stroke-dasharray animated from full offset to 0; circle scales in; transition duration-500",Show static checkmark immediately; announce success via aria-live,Medium
51,Spring Physics,Spring Bounce,"spring, stiffness, damping, mass, organic, bounce, natural, physics-based",interaction complete,300-600ms,spring(stiffness: 100 damping: 10 mass: 1),"transform, scale","framer-motion: transition={{ type: 'spring', stiffness: 100, damping: 10 }} / CSS: linear(0, 0.5 30%, 1.1 70%, 0.98 85%, 1)",Replace with simple ease-out for reduced-motion users,High
52,Spring Physics,Spring Scale,"spring scale, elastic, bounce-in, natural, overshoot, organic feel",element enter,400ms,spring(stiffness: 200 damping: 15),transform,"initial={{ scale: 0.8 }} animate={{ scale: 1 }} transition={{ type: 'spring', stiffness: 200, damping: 15 }} / CSS: @keyframes spring-in { 0% { scale: 0.8 } 60% { scale: 1.05 } 100% { scale: 1 } }",Skip overshoot; use simple opacity fade for reduced-motion,Medium
53,Kinetic Typography,Word Reveal,"word, letter, character, reveal, stagger, text-animation, split-text, typewriter",page load or scroll,600-1200ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","Split text into spans; each word: opacity 0 → 1, translateY(20px) → 0 with stagger delay 50ms per word. Use IntersectionObserver to trigger.",Show all text immediately; use aria-label on container with full text for screen readers,Medium
54,Kinetic Typography,Text Shimmer,"shimmer, gradient text, sweeping highlight, text-shine, glowing text",continuous or hover,2-3s loop,linear,"background-position, background-size","bg-clip-text text-transparent bg-linear-to-r from-foreground via-accent to-foreground bg-size-[200%_auto] animate-[shimmer_3s_linear_infinite]",Stop animation; show static text for reduced-motion. Ensure sufficient contrast without gradient.,Low
55,Stagger Animation,Grid Stagger,"stagger, cascade, sequential, children, delay, grid-items, cards-entrance",page load or scroll,50-80ms per item,cubic-bezier(0.4 0 0.2 1),"opacity, transform","[data-stagger] > * { opacity: 0; animation: fade-up 0.4s ease forwards; animation-delay: calc(var(--index) * 60ms); } Set --index via CSS counter or JS",Show all items immediately; use aria-busy during animation sequence,Medium
56,Stagger Animation,List Stagger,"list, items, sequential-reveal, cascade-in, menu-items, nav-reveal",navigation open or page load,40-60ms per item,cubic-bezier(0.25 0.46 0.45 0.94),"opacity, transform","ul > li { animation: slide-in 0.3s ease forwards; animation-delay: calc(var(--i) * 50ms); } @keyframes slide-in { from { opacity: 0; translateX(-12px) } to { opacity: 1; translateX(0) } }",Show all list items immediately; no animation for reduced-motion,Low
57,Gesture Animation,Swipe Dismiss,"swipe, dismiss, drag, threshold, velocity, touch, pan, flick",touch drag,200-300ms,spring or ease-out,"transform, opacity","Track touch delta; if deltaX > threshold (100px) or velocity > 0.5: animate translateX(100%) + opacity(0) then remove. Snap back if below threshold.",Provide alternative dismiss button; swipe is enhancement only. Keep tap-to-dismiss available.,Medium
58,Gesture Animation,Pinch Zoom,"pinch, zoom, scale, gesture, touch, multi-touch, image-zoom",multi-touch,continuous,linear,transform,"Use touch events (touchstart/touchmove) to calculate distance between two fingers. Apply scale transform proportionally. Clamp between 1x and 3x.",Provide +/- zoom buttons as alternative. Disable for reduced-motion users with vestibular issues.,Low
59,Scroll-Driven,View Timeline,"animation-timeline, view(), scroll-linked, intersection, reveal-on-scroll, CSS-only scroll",element enters viewport,Linked to scroll,linear or ease-out,"opacity, transform","animation: reveal 1s linear both; animation-timeline: view(); animation-range: entry 0% cover 40%; @keyframes reveal { from { opacity: 0; transform: translateY(30px) } to { opacity: 1; transform: translateY(0) } }",Disable animation-timeline; show content at final state. Content must be accessible without scroll.,High
60,Scroll-Driven,Scroll Progress,"scroll-timeline, progress-bar, scroll-linked, reading-progress, page-progress",page scroll,Linked to scroll,linear,"width, scaleX","animation: grow-x 1s linear; animation-timeline: scroll(); @keyframes grow-x { from { transform: scaleX(0) } to { transform: scaleX(1) } } Fixed bar at top of viewport.",Keep progress bar static or hide for reduced-motion users,Medium
61,View Transition,Page Morph,"view-transition-name, cross-document, morph, shared-element, navigation, page-transition",navigation click,300-400ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity, clip-path","document.startViewTransition(() => updateDOM()); CSS: ::view-transition-old(root) { animation: fade-out 0.3s } ::view-transition-new(root) { animation: fade-in 0.3s }",Disable view transitions completely; instant navigation for reduced-motion users,High
62,Web Animations API,WAAPI Keyframes,"animate(), getAnimations(), commitStyles, Web Animations, native browser, performant",programmatic trigger,Variable,Variable,Any animatable property,"element.animate([{ opacity: 0, transform: 'translateY(20px)' }, { opacity: 1, transform: 'translateY(0)' }], { duration: 300, easing: 'ease-out', fill: 'forwards' }); element.getAnimations().forEach(a => a.cancel());",Respect prefers-reduced-motion via matchMedia check before calling animate(),Medium
