No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
37,Performance,Image Optimization,"image webp avif srcset lazy",Web,Use modern image formats with responsive srcset and lazy loading,Use next/image or picture element with WebP/AVIF and lazy loading,Serve unoptimized PNG/JPG without srcset,"<Image src={img} width={800} height={600} alt='...' />","<img src='large-photo.png' />",High
38,Performance,Font Display Swap,"font-display swap fout cls",Web,Use font-display: swap to prevent invisible text during font load,Set font-display: swap in @font-face or Google Fonts URL parameter,Use font-display: block causing invisible text flash,"@import url('...&display=swap');","@font-face { font-display: block; }",High
39,Performance,Preconnect Hints,"preconnect dns-prefetch external",Web,Add preconnect for external origins used early in page load,Add preconnect for Google Fonts and CDN domains,Load external resources without preconnect hints,"<link rel='preconnect' href='https://fonts.googleapis.com' />",No preconnect for external CSS/font/API domains,Medium
40,Performance,CLS Prevention,"cls layout-shift aspect-ratio placeholder",Web,Prevent Cumulative Layout Shift by reserving space for dynamic content,Use aspect-ratio and explicit width/height on images and embeds,Load images/embeds without dimensions causing layout shift,"<img width='800' height='600' style='aspect-ratio: 4/3' />","<img src='photo.jpg' /> without dimensions",Critical
41,Performance,Virtualize Long Lists,"virtualize virtual-scroll windowing",Web,Use virtualization for lists with 100+ items to avoid DOM bloat,Use react-window or tanstack-virtual for long lists,Render 1000+ DOM nodes in a single list,"<VirtualList height={600} itemCount={items.length} ... />","items.map(item => <div>...</div>) for 1000 items",High
42,Form,Autocomplete Attributes,"autocomplete name email address",Web,Use autocomplete attributes to help browsers auto-fill form fields,Add autocomplete='email' autocomplete='name' autocomplete='tel' etc,No autocomplete attributes on login/signup forms,"<input type='email' autocomplete='email' name='email' />","<input type='text' name='field1' />",High
43,Form,Error Message Association,"aria-describedby error invalid",Web,Associate error messages with form controls using aria-describedby,Use aria-describedby pointing to error message element,Show generic error at top of form with no field association,"<input aria-describedby='email-error' /><p id='email-error'>...</p>","<p class='error'>Fix errors above</p> at form top",High
44,Form,Password Visibility Toggle,"password show hide toggle eye",Web,Provide password visibility toggle button with proper a11y,Add toggle button with aria-label that changes with state,No password visibility option or toggle without aria-label,"<button aria-label='Show password' onClick={toggle}><EyeIcon /></button>","<span onClick={toggle}>👁</span>",Medium
45,Layout,Sticky with Scroll Padding,"sticky fixed scroll-padding offset",Web,Account for sticky/fixed headers when scrolling to anchors,Add scroll-padding-top to html equal to sticky header height,Anchor links scroll content behind sticky header,"html { scroll-padding-top: 80px; }",Anchor scrolls behind fixed navbar,High
46,Layout,Safe Area Inset,"safe-area env notch mobile viewport",Web,Account for device safe areas (notch/home indicator) on mobile,Use env(safe-area-inset-*) for padding on edge-to-edge layouts,Ignore safe areas causing content under notch/home bar,"padding-bottom: env(safe-area-inset-bottom);",Content hidden behind iPhone home indicator,High
47,Responsive,Container Query Components,"container-type container @container",Web,Use container queries for truly reusable responsive components,Use container-type: inline-size for component-level breakpoints,Use viewport media queries inside component CSS,"container-type: inline-size; @container (min-width: 400px) { ... }","@media (min-width: 768px) inside a sidebar component",High
48,Responsive,Fluid Typography,"clamp fluid vw responsive-text",Web,Use clamp() for fluid typography that scales between breakpoints,Use font-size: clamp(min preferred max) for smooth scaling,Use fixed font sizes with abrupt breakpoint changes,"font-size: clamp(1rem, 0.5rem + 2vw, 2rem);","font-size: 16px; @media (...) { font-size: 24px; }",Medium
49,SEO,Semantic Structure,"heading hierarchy h1 h2 landmark",Web,Use proper heading hierarchy and landmark elements,One h1 per page with sequential heading levels and nav/main/footer,Skip heading levels or use multiple h1 elements,"<main><h1>Title</h1><section><h2>Sub</h2></section></main>","<div><h1>A</h1><h1>B</h1><h3>C</h3></div>",High
50,SEO,Meta and OpenGraph,"meta og title description image",Web,Include essential meta tags and OpenGraph data for social sharing,Add title/description/og:image/og:title to all pages,Missing meta description or og:image for shared pages,"<meta property='og:image' content='/og.jpg' />",No og:image causing blank social previews,Medium
