No,Rule ID,Page Type,Check Type,Rule Description,Violation Example,Fix Suggestion,Severity
16,D02,Dashboard,has-user-menu,"Dashboard must have a user menu with avatar, showing at minimum Profile, Settings, and Logout","No user avatar, dropdown, or logout button visible in the dashboard","Add user avatar/name in nav with dropdown menu containing: Profile, Settings, divider, Log out",CRITICAL
17,D03,Dashboard,has-stats-overview,"Dashboard should have a stats/overview section with key metrics","Dashboard opens to empty content or just a list without summary metrics","Add 2-4 stat cards at the top showing key metrics (total users, revenue, active projects, etc.)",MEDIUM
18,D04,Dashboard,has-empty-state,"Dashboard must show proper empty states when there is no data (not blank space)","Lists/tables show blank white space when no data exists","Add empty state components: illustration + message + CTA button for each empty data section",HIGH
19,P01,Pricing,has-plan-cards,"Pricing page must have 2-4 plan comparison cards with features and CTAs","No pricing cards or only a text list of prices","Add 2-4 plan cards with: plan name, price, billing period, feature list, CTA button. Highlight recommended plan",CRITICAL
20,P02,Pricing,has-faq,"Pricing page must have a FAQ section addressing common billing/pricing questions","No FAQ section on pricing page","Add FAQ section with questions about: refunds, plan changes, billing cycle, team pricing, enterprise options",HIGH
21,P03,Pricing,has-feature-comparison,"Pricing page should have a feature comparison table below plan cards","Only plan cards with short feature lists, no detailed comparison","Add a full feature comparison table showing all features across all plans with checkmarks/crosses",MEDIUM
22,P04,Pricing,highlight-recommended,"Pricing page must visually highlight the recommended/popular plan","All plan cards look identical, none is highlighted as recommended","Add 'Most Popular' or 'Recommended' badge to mid-tier plan. Use different border color or subtle background",MEDIUM
23,B01,Blog Post,has-author-date,"Blog posts must show author name and publication date","Blog post has no author attribution or date","Add author name (with avatar optional) and date below the title. Format: 'By Author Name · Month Day, Year'",HIGH
24,B02,Blog Post,has-share-buttons,"Blog posts should have social sharing buttons","No way to share the blog post on social media","Add share buttons (Twitter/X, LinkedIn, Copy link) either below title or as floating sidebar",MEDIUM
25,B03,Blog Post,has-heading-hierarchy,"Blog posts must use proper heading hierarchy (H1 title, H2 sections, H3 subsections)","Blog post skips from H1 to H3, or uses multiple H1s, or uses bold text instead of headings","Restructure headings: single H1 for title, H2 for major sections, H3 for subsections. Never skip levels",HIGH
26,B04,Blog List,has-pagination,"Blog list page must have pagination or infinite scroll for many posts","All posts shown on single page without pagination, causing slow load","Add pagination with Previous/Next buttons and page numbers. Show 10-15 posts per page",MEDIUM
27,E01,PDP,has-add-to-cart,"Product detail page must have a prominent Add to Cart button","No clear add to cart or purchase button on product page","Add large, prominent 'Add to Cart' button near the price. Use brand color, full-width on mobile",CRITICAL
28,E02,PDP,has-product-images,"Product detail page must have multiple product images or image gallery","Only single product image or no images at all","Add image gallery with 3-5 product photos from different angles. Support zoom and lightbox",HIGH
29,E03,PDP,has-breadcrumbs,"Product detail page should have breadcrumb navigation","No breadcrumbs showing product hierarchy (Home > Category > Product)","Add breadcrumbs: Home > Category > Subcategory > Product Name with proper links",MEDIUM
30,C01,Checkout,has-order-summary,"Checkout page must show order summary with items, quantities, and total","Checkout shows payment form but no summary of what user is purchasing","Add order summary section showing: item names, quantities, unit prices, subtotal, tax, shipping, total",CRITICAL
31,C02,Checkout,has-trust-badges,"Checkout page should display trust indicators (SSL, money-back, payment logos)","No trust indicators near payment information","Add trust badges: SSL secure, money-back guarantee, accepted payment method logos near payment form",HIGH
32,C03,Checkout,minimal-nav,"Checkout page should have minimal navigation to prevent abandonment","Checkout has full site navigation, tempting users to leave","Remove main navigation. Show only: logo + progress steps. Add 'Back to cart' link only",MEDIUM
33,G01,Global,consistent-max-width,"All page sections must use the same max-width container (e.g., max-w-7xl)","Hero uses max-w-5xl while features use max-w-7xl and footer uses max-w-6xl","Standardize to one max-width (recommended: max-w-7xl) across all sections. Use the same container class",HIGH
34,G02,Global,has-responsive,"All pages must be responsive at standard breakpoints (375px, 768px, 1024px, 1440px)","Page layout breaks on mobile: overlapping elements, horizontal scroll, tiny text","Add responsive classes: grid-cols-1 md:grid-cols-2 lg:grid-cols-3. Test at all standard breakpoints",CRITICAL
35,G03,Global,consistent-spacing,"All page sections must use consistent vertical spacing (e.g., py-16 md:py-24)","Sections have random spacing: py-8 then py-24 then py-4","Standardize section spacing to py-16 md:py-24 for all sections. Use py-20 md:py-32 for hero only",MEDIUM
36,G04,Global,no-emoji-icons,"Use SVG icons from a consistent icon set, never emojis as UI icons","Emojis used as feature icons: rocket emoji for speed, gear emoji for settings","Replace all emojis with SVG icons from Lucide, Heroicons, or another consistent icon set",MEDIUM
37,G05,Global,cursor-pointer,"All clickable elements must have cursor-pointer class","Cards, buttons, and links missing cursor-pointer, showing default cursor on hover","Add cursor-pointer class to all interactive elements: buttons, links, clickable cards, toggles",MEDIUM
38,S01,Any,has-meta-title,"Every page must have a unique, descriptive title tag","Page has no <title> tag or uses generic 'Untitled' or same title on all pages","Add unique <title> following format: 'Page Name - Product Name'. Keep under 60 characters",CRITICAL
39,S02,Any,has-meta-description,"Every indexable page must have a unique meta description","Page has no meta description or uses the same description on all pages","Add <meta name='description'> with unique 150-160 character description including primary keyword",HIGH
40,S03,Any,has-og-image,"Every public page should have Open Graph image for social sharing","No og:image meta tag, social shares show no preview image","Add <meta property='og:image'> with 1200x630px image. Create a default OG image template for pages without custom images",MEDIUM
41,S04,Any,has-canonical,"Every indexable page must have a canonical URL tag","No canonical tag, risking duplicate content issues","Add <link rel='canonical' href='https://example.com/current-page' /> to every indexable page",HIGH
42,S05,Any,proper-heading-h1,"Every page must have exactly one H1 tag","Page has zero H1 tags, or multiple H1 tags","Ensure exactly one H1 per page. H1 should be the main page title/headline. Use H2-H4 for subsections",CRITICAL
43,N01,Any,has-skip-link,"All pages should have a 'Skip to main content' accessibility link","No skip navigation link for keyboard users","Add visually hidden skip link as first focusable element: <a href='#main-content' class='sr-only focus:not-sr-only'>Skip to main content</a>",HIGH
44,N02,Any,nav-active-state,"Navigation must show active/current page indicator","All nav links look the same, user cannot tell which page they are on","Add active state styling to current page's nav link: different color, font-weight, border-bottom, or background",MEDIUM
